,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
40,"('14', '15')",7962683.67327399,7878.962804904481,7970562.636078894,987.14
41,"('14', '23')",7869415.347775187,8041.325572675297,7877456.673347862,1010.86
42,"('15', '10')",8485883.793673337,7917.046750800519,8493800.840424137,1035.42
43,"('15', '14')",7966669.442599832,7531.249525273771,7974200.692125106,1059.4
44,"('15', '19')",8362183.572681526,8110.657993539836,8370294.230675066,1084.06
45,"('15', '22')",8189260.64409929,8082.9724643189165,8197343.616563609,1108.07
46,"('16', '8')",7940858.83074301,7948.554225139193,7948807.3849681495,1131.98
47,"('16', '10')",8012078.789778851,7697.025281849115,8019775.8150607,1155.64
48,"('16', '17')",7933421.360288159,7877.7067765136135,7941299.067064673,1179.82
49,"('16', '18')",8307836.392550371,7567.088413114055,8315403.480963484,1204.06
50,"('17', '10')",8031216.671863474,7654.202904024014,8038870.874767498,1228.41
51,"('17', '16')",7931104.729401021,7863.462389166604,7938968.191790188,1252.73
52,"('17', '19')",7836534.045073049,7427.314787055634,7843961.3598601045,1277.01
53,"('18', '7')",8201806.438324639,7762.422175787802,8209568.860500426,1301.45
54,"('18', '16')",8304284.837587085,7768.774714205986,8312053.612301291,1325.64
55,"('18', '20')",8349086.915932672,7632.112054511059,8356719.027987183,1349.91
56,"('19', '15')",8360612.448829507,7655.659748773544,8368268.108578281,1374.06
57,"('19', '17')",7830584.206804498,7531.82650739284,7838116.033311891,1398.16
58,"('19', '20')",7970205.590345575,8110.668932282528,7978316.259277857,1422.05
59,"('20', '18')",8360897.952103298,7730.54824474316,8368628.500348042,1446.19
60,"('20', '19')",7974231.774475873,7463.36078276359,7981695.135258637,1470.35
61,"('20', '21')",7877577.226525237,7528.490816174185,7885105.717341411,1494.22
62,"('20', '22')",7919270.903169597,7613.26996002846,7926884.173129625,1518.34
63,"('21', '20')",7872267.148389068,7762.582412461801,7880029.73080153,1542.26
64,"('21', '22')",7857888.505024523,7621.806116159462,7865510.311140682,1566.15
65,"('21', '24')",8002605.119785684,7767.157341218703,8010372.277126903,1590.21
66,"('22', '15')",8185628.52294419,8069.6914220093095,8193698.2143661985,1614.11
67,"('22', '20')",7915820.989909023,7735.097285251907,7923556.087194275,1637.9
68,"('22', '21')",7858900.818189925,7779.808239713652,7866680.626429638,1661.8
69,"('22', '23')",7996924.844999381,7692.267643057217,8004617.112642438,1685.76
70,"('23', '14')",7868314.872111409,7514.22301043839,7875829.095121847,1709.73
71,"('23', '22')",7998822.768273155,7904.8447639320675,8006727.613037087,1733.64
72,"('23', '24')",7791486.605921742,7931.8600354912,7799418.465957233,1757.39
73,"('24', '13')",7939494.29847353,7353.032446144136,7946847.330919675,1781.37
74,"('24', '21')",7995531.989375655,7889.317049033823,8003421.306424689,1805.45
75,"('24', '23')",7788841.519160726,7505.142847406355,7796346.662008133,1829.41
