,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
26,"('10', '11')",8251869.731424583,80188.0111239064,8332057.74254849,504.21
27,"('10', '15')",8481790.91574203,80929.70448331276,8562720.620225344,523.37
28,"('10', '16')",8016908.602512381,80903.0845310341,8097811.687043415,541.56
29,"('10', '17')",8035329.524665675,82142.69017253561,8117472.2148382105,559.85
30,"('11', '4')",7841918.327675632,81492.39104160131,7923410.718717233,578.06
31,"('11', '10')",8254501.989841667,81821.57554415052,8336323.565385818,596.25
32,"('11', '12')",7883905.2558921045,76318.05187429464,7960223.307766399,614.71
33,"('11', '14')",7948107.803765769,75200.82960504237,8023308.633370811,633.22
34,"('12', '3')",8074185.483903335,76173.69257847541,8150359.17648181,652.44
35,"('12', '11')",7883987.818734161,81255.21433716471,7965243.033071325,670.79
36,"('12', '13')",8082867.196590597,73957.82544679838,8156825.022037395,689.48
37,"('13', '12')",8087714.451731991,74532.02378141297,8162246.475513404,708.23
38,"('13', '24')",7937892.61374506,75032.23879552193,8012924.8525405815,726.68
39,"('14', '11')",7951642.606676651,81228.69103255696,8032871.297709208,744.92
40,"('14', '15')",7963415.954496957,79926.73239295256,8043342.68688991,763.46
41,"('14', '23')",7870294.685662806,81752.7137909315,7952047.399453738,781.66
42,"('15', '10')",8486597.858517298,79557.79343308693,8566155.651950385,800.61
43,"('15', '14')",7967371.277431024,76476.22228923516,8043847.49972026,819.22
44,"('15', '19')",8362891.4315311145,81325.30982894132,8444216.741360055,838.17
45,"('15', '22')",8190128.535756664,82698.17527235902,8272826.711029023,856.67
46,"('16', '8')",7941653.997240653,80496.65209070235,8022150.6493313555,875.14
47,"('16', '10')",8012852.622320061,78421.5698090104,8091274.192129071,893.38
48,"('16', '17')",7934266.477698238,78757.16946392263,8013023.64716216,913.0
49,"('16', '18')",8308487.069542672,75585.50941218663,8384072.578954858,932.28
50,"('17', '10')",8031949.902837056,77513.24181239052,8109463.144649446,951.11
51,"('17', '16')",7931990.240616038,78827.43786129795,8010817.678477337,970.16
52,"('17', '19')",7837240.555927357,74792.95926897672,7912033.515196334,989.55
53,"('18', '7')",8202423.80287516,77220.81128261737,8279644.614157777,1008.78
54,"('18', '16')",8304940.211585733,77587.5870618222,8382527.7986475555,1027.85
55,"('18', '20')",8349740.505798076,76259.60563143474,8426000.11142951,1046.62
56,"('19', '15')",8361271.826722333,76700.96613031464,8437972.792852648,1065.31
57,"('19', '17')",7831323.022370461,75743.71807636853,7907066.74044683,1083.91
58,"('19', '20')",7971050.131141655,82360.02143706882,8053410.152578724,1102.38
59,"('20', '18')",8361547.091231836,76728.94266112774,8438276.033892963,1121.07
60,"('20', '19')",7974999.554523671,75709.83936222918,8050709.3938859,1139.75
61,"('20', '21')",7878376.242302537,76382.95635997495,7954759.198662512,1158.15
62,"('20', '22')",7920097.306058972,78055.34945209096,7998152.6555110635,1176.81
63,"('21', '20')",7873076.227237481,78767.99051306133,7951844.217750542,1195.26
64,"('21', '22')",7858693.413233885,77208.5559807095,7935901.969214594,1213.74
65,"('21', '24')",8003385.766671287,78832.43496618308,8082218.20163747,1232.18
66,"('22', '15')",8186495.1663134005,82224.78266500164,8268719.948978402,1250.87
67,"('22', '20')",7916645.820553031,79214.54073705112,7995860.361290082,1269.28
68,"('22', '21')",7859702.275684209,78780.4303131608,7938482.705997369,1287.71
69,"('22', '23')",7997687.20577461,77679.68126361757,8075366.887038227,1306.22
70,"('23', '14')",7869138.7491946025,76359.18891466607,7945497.938109268,1324.67
71,"('23', '22')",7999601.783069957,79995.64390244325,8079597.4269724,1343.09
72,"('23', '24')",7792398.078296693,80336.50876687646,7872734.58706357,1361.26
73,"('24', '13')",7940304.33028308,74123.8489043224,8014428.179187403,1379.67
74,"('24', '21')",7996308.262704362,80024.4295070522,8076332.692211415,1397.97
75,"('24', '23')",7789722.707585359,76219.81690209216,7865942.524487451,1416.38
